timestamp,server_id,cpu_usage,memory_usage,disk_io,network_traffic,anomaly_flag
2026-02-12 02:31:14.227586,2,67.92,61.04,59.58,373.5,0
2026-02-12 02:31:15.227586,5,64.53,59.7,109.39,337.97,0
2026-02-12 02:31:16.227586,4,59.72,59.27,121.01,283.0,0
2026-02-12 02:31:17.227586,3,62.14,62.62,102.61,247.56,0
2026-02-12 02:31:18.227586,2,52.37,49.29,87.59,246.5,0
2026-02-12 02:31:19.227586,3,49.25,58.59,101.52,290.39,0
2026-02-12 02:31:20.227586,4,56.76,57.4,119.8,372.52,0
2026-02-12 02:31:21.227586,2,60.03,78.66,126.02,373.77,0
2026-02-12 02:31:22.227586,4,57.87,58.48,74.23,155.92,0
2026-02-12 02:31:23.227586,3,54.53,63.33,89.21,376.94,0
2026-02-12 02:31:24.227586,4,59.6,74.69,94.71,300.32,0
2026-02-12 02:31:25.227586,1,43.47,59.96,114.51,266.15,0
2026-02-12 02:31:26.227586,1,43.01,52.81,104.78,289.54,0
2026-02-12 02:31:27.227586,4,37.6,63.38,123.22,265.15,0
2026-02-12 02:31:28.227586,5,53.74,60.42,104.28,323.55,0
2026-02-12 02:31:29.227586,2,61.99,61.35,106.19,272.4,0
2026-02-12 02:31:30.227586,5,36.32,47.96,90.73,274.34,0
2026-02-12 02:31:31.227586,5,50.92,58.6,139.44,276.11,0
2026-02-12 02:31:32.227586,1,58.45,48.87,86.19,318.01,0
2026-02-12 02:31:33.227586,1,47.33,59.28,86.46,306.34,0
2026-02-12 02:31:34.227586,2,55.45,47.31,130.75,301.74,0
2026-02-12 02:31:35.227586,5,46.19,62.99,116.6,317.61,0
2026-02-12 02:31:36.227586,5,59.79,53.84,102.06,284.37,0
2026-02-12 02:31:37.227586,1,59.51,66.46,126.05,259.62,0
2026-02-12 02:31:38.227586,3,32.96,67.08,107.52,321.7,0
2026-02-12 02:31:39.227586,4,56.33,66.72,66.38,316.62,0
2026-02-12 02:31:40.227586,3,57.98,65.67,96.46,303.98,0
2026-02-12 02:31:41.227586,1,39.51,64.92,97.85,287.96,0
2026-02-12 02:31:42.227586,2,54.76,55.06,75.01,333.47,0
2026-02-12 02:31:43.227586,3,48.41,74.09,119.42,351.39,0
2026-02-12 02:31:44.227586,4,33.35,56.44,69.82,381.54,0
2026-02-12 02:31:45.227586,2,48.99,64.47,111.28,279.72,0
2026-02-12 02:31:46.227586,2,52.55,67.7,133.04,346.6,0
2026-02-12 02:31:47.227586,5,99.34,92.76,426.4,1138.85,1
2026-02-12 02:31:48.227586,2,67.16,60.56,89.02,230.97,0
2026-02-12 02:31:49.227586,2,85.49,85.11,383.27,964.81,1
2026-02-12 02:31:50.227586,5,53.18,54.92,104.6,354.76,0
2026-02-12 02:31:51.227586,1,41.49,67.64,86.29,214.51,0
2026-02-12 02:31:52.227586,2,49.02,57.02,92.49,355.21,0
2026-02-12 02:31:53.227586,1,86.83,88.94,349.32,1002.72,1
2026-02-12 02:31:54.227586,1,50.31,47.82,116.78,284.39,0
2026-02-12 02:31:55.227586,5,58.11,62.2,56.79,324.71,0
2026-02-12 02:31:56.227586,3,19.79,49.22,126.47,247.86,0
2026-02-12 02:31:57.227586,3,51.83,58.85,106.9,350.55,0
2026-02-12 02:31:58.227586,3,47.82,62.88,97.8,360.08,0
2026-02-12 02:31:59.227586,1,54.07,41.66,118.6,319.33,0
2026-02-12 02:32:00.227586,3,47.09,48.34,115.12,268.68,0
2026-02-12 02:32:01.227586,4,62.77,58.59,101.07,345.94,0
2026-02-12 02:32:02.227586,4,61.7,79.63,95.41,274.06,0
2026-02-12 02:32:03.227586,4,48.27,68.37,101.54,307.17,0
2026-02-12 02:32:04.227586,3,40.51,55.33,93.95,410.09,0
2026-02-12 02:32:05.227586,3,56.46,45.93,106.4,265.9,0
2026-02-12 02:32:06.227586,3,59.84,47.82,126.56,249.45,0
2026-02-12 02:32:07.227586,1,56.75,46.62,53.13,277.36,0
2026-02-12 02:32:08.227586,1,45.49,67.59,101.74,374.64,0
2026-02-12 02:32:09.227586,5,51.82,65.35,102.94,273.4,0
2026-02-12 02:32:10.227586,5,48.52,61.67,136.26,279.73,0
2026-02-12 02:32:11.227586,4,64.65,63.72,111.2,276.23,0
2026-02-12 02:32:12.227586,2,46.15,52.74,91.58,403.64,0
2026-02-12 02:32:13.227586,4,48.08,56.18,120.14,227.71,0
2026-02-12 02:32:14.227586,1,36.02,74.6,99.85,273.73,0
2026-02-12 02:32:15.227586,3,68.87,63.47,80.16,312.81,0
2026-02-12 02:32:16.227586,3,46.85,61.95,114.66,396.03,0
2026-02-12 02:32:17.227586,4,49.19,52.62,73.47,339.77,0
2026-02-12 02:32:18.227586,5,52.83,73.72,87.93,339.69,0
2026-02-12 02:32:19.227586,1,63.94,48.92,100.16,271.87,0
2026-02-12 02:32:20.227586,3,44.2,59.47,102.03,207.05,0
2026-02-12 02:32:21.227586,3,60.26,54.61,92.47,354.43,0
2026-02-12 02:32:22.227586,3,55.44,62.96,98.79,302.46,0
2026-02-12 02:32:23.227586,2,47.93,76.64,87.99,227.84,0
2026-02-12 02:32:24.227586,1,41.11,69.1,110.39,279.51,0
2026-02-12 02:32:25.227586,1,62.7,60.99,87.01,247.66,0
2026-02-12 02:32:26.227586,2,61.99,67.34,114.83,324.49,0
2026-02-12 02:32:27.227586,4,58.72,61.08,95.48,222.18,0
2026-02-12 02:32:28.227586,1,73.47,60.35,125.61,255.9,0
2026-02-12 02:32:29.227586,3,65.73,48.8,78.92,238.64,0
2026-02-12 02:32:30.227586,1,44.41,52.04,109.36,393.12,0
2026-02-12 02:32:31.227586,4,50.58,49.9,124.76,332.1,0
2026-02-12 02:32:32.227586,2,50.69,53.95,77.34,385.47,0
2026-02-12 02:32:33.227586,2,56.84,46.84,88.51,335.64,0
2026-02-12 02:32:34.227586,5,42.79,48.46,128.02,272.2,0
2026-02-12 02:32:35.227586,3,87.7,90.51,364.63,886.19,1
2026-02-12 02:32:36.227586,5,55.32,63.72,78.86,271.33,0
2026-02-12 02:32:37.227586,2,68.69,61.12,100.83,299.49,0
2026-02-12 02:32:38.227586,2,38.71,56.72,79.14,239.49,0
2026-02-12 02:32:39.227586,4,30.17,59.19,101.17,284.69,0
2026-02-12 02:32:40.227586,4,45.01,52.32,133.58,248.27,0
